geneName	geneChromosome	strand	exonNumber	geneLength
1110020A21Rik	chr17	-	5	1220
1110020G09Rik	chr15	+	13	3731
1110021J02Rik	chr17	-	5	5646
1110021L09Rik	chr10	+	14	2837
1110028C15Rik	chr1	-	15	4760
1110031I02Rik	chr11	-	9	1243
1110032A03Rik	chr9	-	4	1782
1110032A04Rik	chr3	-	4	1785
1110032F04Rik	chr3	+	1	2578
1110034A24Rik	chr12	-	3	2639
1110034B05Rik	chr1	-	8	1442
1110034G24Rik	chr2	+	3	1471
1110036E04Rik	chr9	+	3	777
1110037F02Rik	chr4	+	25	7115
1110038B12Rik	chr17	-	5	589
1110038D17Rik	chr10	-	6	2910
1110038F14Rik	chr15	+	4	1091
1110046J04Rik	chr13	+	5	777
1110049F12Rik	chr4	-	6	1538
1110051M20Rik	chr2	-	9	1979
1110054M08Rik	chr16	-	2	854
1110054O05Rik	chr4	-	5	3216
1110057K04Rik	chr12	+	7	3082
1110058L19Rik	chr1	-	3	667
1110059E24Rik	chr19	-	4	1428
1110059G10Rik	chr9	-	3	3361
1110059M19Rik	chrX	+	2	1109
1110065P20Rik	chr4	-	3	762
1110067D22Rik	chr11	-	5	3635
1190002F15Rik	chr6	+	2	607
1190002H23Rik	chr14	-	5	914
1190002N15Rik	chr9	-	3	3950
1190003J15Rik	chr7	+	3	675
1190003K10Rik	chr13	-	3	1097
1190005F20Rik	chr1	+	15	2665
1190005I06Rik	chr8	-	4	734
1190007F08Rik	chr4	-	4	3442
1190007I07Rik	chr10	-	3	748
1200009I06Rik	chr12	+	13	2923
1200011I18Rik	chr14	-	8	5448
1200011M11Rik	chr11	-	4	3221
1200014J11Rik	chr11	+	13	6284
1200016B10Rik	chr1	-	20	3668
1300001I01Rik	chr11	+	26	5399
1300002E11Rik	chr16	+	6	3959
1300002K09Rik	chr4	+	18	3606
1300010F03Rik	chr14	+	45	7195
1300014I06Rik	chr13	-	5	1872
1300015D01Rik	chr2	+	3	3476
1300017J02Rik	chr9	-	17	2275
1300018I17Rik	chr8	-	15	2779
1300018J18Rik	chr15	+	9	2360
1500001M20Rik	chr6	-	8	1166
1500002O10Rik	chr2	-	3	889
1500002O20Rik	chr7	+	14	2232
1500003O03Rik	chr2	+	7	2594
1500004A13Rik	chr3	-	2	3629
1500009C09Rik	chr15	+	3	1904
1500009L16Rik	chr10	+	6	1194
1500010J02Rik	chr11	+	23	4167
1500011B03Rik	chr5	-	3	1739
1500011H22Rik	chr5	-	7	983
1500011K16Rik	chr2	-	2	810
1500012F01Rik	chr2	+	5	738
1500015A07Rik	chr18	+	1	1864
1500015O10Rik	chr1	+	4	888
1500016L03Rik	chr11	+	4	624
1500017E21Rik	chr19	-	5	2662
1500031L02Rik	chr16	+	4	1701
1500032L24Rik	chr15	+	3	585
1520402A15Rik	chr4	-	2	1427
1600002D24Rik	chr16	-	7	2215
1600002H07Rik	chr17	-	10	2143
1600002K03Rik	chr10	+	3	651
1600010M07Rik	chr7	-	3	616
1600012F09Rik	chr13	-	3	3436
1600012H06Rik	chr17	+	1	2756
1600014C10Rik	chr7	+	4	3451
1600014C23Rik	chr17	-	2	518
1600014K23Rik	chrX	+	2	840
1600015I10Rik	chr6	+	4	2484
1600016N20Rik	chr7	-	13	2047
1600019K03Rik	chr16	-	3	477
1600020E01Rik	chr6	+	5	681
1600021P15Rik	chr16	-	2	3080
1600025M17Rik	chrX	+	3	547
1600027N09Rik	chr2	+	6	1192
1600029D21Rik	chr9	+	4	1846
1600029I14Rik	chr9	+	2	864
1600029O15Rik	chr9	+	3	1809
1700001C02Rik	chr5	+	4	712
1700001C19Rik	chr17	-	5	1801
1700001F09Rik	chr14	-	5	883
1700001G11Rik	chr14	-	3	769
1700001G17Rik	chr1	+	1	889
1700001J03Rik	chr5	-	5	778
1700001J11Rik	chr9	+	1	2468
1700001K19Rik	chr12	-	6	954
1700001K23Rik	chr19	-	3	488
1700001L05Rik	chr15	-	4	6003
1700001L19Rik	chr13	+	3	1808
1700001O22Rik	chr2	-	8	1548
1700001P01Rik	chr11	-	3	624
1700003E16Rik	chr6	+	4	2050
1700003F12Rik	chr2	+	3	733
1700003G13Rik	chr9	-	4	705
1700003G18Rik	chr7	-	4	620
1700003H04Rik	chr3	-	4	757
1700003L19Rik	chr16	+	5	746
1700003M02Rik	chr4	-	11	1716
1700003M07Rik	chr4	+	5	2315
1700006A11Rik	chr3	-	12	1983
1700006E09Rik	chr11	+	6	698
1700007B14Rik	chr8	+	14	2161
1700007E06Rik	chr15	-	4	553
1700007F19Rik	chr3	-	6	1642
1700007G11Rik	chr5	+	6	861
1700007I08Rik	chr2	+	1	1501
1700007K09Rik	chr7	-	4	676
1700007K13Rik	chr2	-	3	804
1700007P06Rik	chr1	+	3	823
1700008A04Rik	chr11	-	4	606
1700008F21Rik	chr8	+	16	1637
1700008I05Rik	chrX	-	10	1776
1700008J07Rik	chr7	-	1	2432
1700008K24Rik	chr17	-	2	947
1700008O03Rik	chr7	-	6	911
1700008P02Rik	chr3	-	4	788
1700008P20Rik	chr7	-	1	886
1700009J07Rik	chr10	+	2	914
1700009N14Rik	chr4	+	2	1262
1700009P17Rik	chr1	+	6	1034
1700010B08Rik	chr2	+	3	896
1700010D01Rik	chrX	-	2	499
1700010I02Rik	chr3	-	4	436
1700010I14Rik	chr17	+	10	1878
1700010J16Rik	chr10	+	7	887
1700010K23Rik	chr16	+	3	376
1700010M22Rik	chr2	+	1	750
1700011A15Rik	chr15	+	5	903
1700011E24Rik	chr17	-	7	847
1700011F03Rik	chr6	-	4	807
1700011F14Rik	chr19	+	9	1086
1700011H14Rik	chr14	-	7	1167
1700011I03Rik	chr18	+	7	967
1700011L22Rik	chr8	-	6	978
1700011M02Rik	chrX	+	3	420
1700012A03Rik	chr6	+	3	915
1700012A16Rik	chr1	+	10	2045
1700012B07Rik	chr11	-	6	1470
1700012B09Rik	chr9	-	4	685
1700012B15Rik	chr12	+	7	1073
1700012D14Rik	chr7	-	3	629
1700012L04Rik	chrX	+	1	525
1700012P22Rik	chr4	-	4	972
1700013D24Rik	chr6	-	3	534
1700013F07Rik	chr3	+	5	592
1700013G24Rik	chr4	+	2	1036
1700013H16Rik	chrX	-	9	1224
1700013N18Rik	chr5	+	1	1512
1700014N06Rik	chrX	+	1	1049
1700015E13Rik	chr1	+	2	713
1700015F17Rik	chr5	-	7	710
1700015G11Rik	chr7	-	4	388
1700016C15Rik	chr1	+	6	749
1700016D06Rik	chr8	-	6	1263
1700016H13Rik	chr5	-	4	946
1700016K19Rik	chr11	+	2	921
1700016L21Rik	chr1	+	3	394
1700016M24Rik	chr15	-	27	3549
1700016P04Rik	chr6	+	2	429
1700017B05Rik	chr9	-	3	4934
1700017D01Rik	chr19	-	7	1194
1700017G19Rik	chr3	-	6	2439
1700017J07Rik	chr2	+	2	472
1700017N19Rik	chr10	+	13	1690
1700018A04Rik	chr13	-	6	714
1700018A14Rik	chr18	+	1	711
1700018B08Rik	chr8	-	7	1080
1700018B24Rik	chr3	-	1	3370
1700018C11Rik	chr4	-	5	671
1700018F24Rik	chr5	+	5	1119
1700018L02Rik	chr19	+	1	1247
1700018L24Rik	chr8	+	7	775
1700019A02Rik	chr1	-	9	627
1700019B03Rik	chr8	+	9	1613
1700019D03Rik	chr1	-	2	834
1700019E08Rik	chr2	+	4	635
1700019E19Rik	chr12	+	9	809
1700019G17Rik	chr6	-	4	3278
1700019G24Rik	chr6	-	3	515
1700019L03Rik	chr2	-	9	1675
1700019M22Rik	chr12	-	1	604
1700019N12Rik	chr19	-	5	781
1700019N19Rik	chr19	-	6	923
1700019O17Rik	chr1	+	1	1721
1700020A23Rik	chr2	+	3	733
1700020C07Rik	chr2	-	2	783
1700020D05Rik	chr19	-	1	1019
1700020I14Rik	chr2	+	3	1549
1700020L24Rik	chr11	+	3	931
1700020M21Rik	chr9	-	3	642
1700020N01Rik	chr10	+	3	1061
1700020N18Rik	chr1	-	3	546
1700020O03Rik	chr12	+	10	3919
1700021C14Rik	chr3	-	4	481
1700021F05Rik	chr10	-	4	898
1700021F07Rik	chr2	+	4	641
1700021K19Rik	chr16	-	20	5343
1700022A21Rik	chr5	+	2	1448
1700022E09Rik	chr16	-	3	385
1700022I11Rik	chr4	+	2	3726
1700022P22Rik	chr1	+	3	428
1700023A16Rik	chr6	+	10	1268
1700023E05Rik	chr5	+	9	1719
1700023F02Rik	chr10	-	3	345
1700023I07Rik	chrX	+	1	1948
1700023L04Rik	chr6	+	2	662
1700024G13Rik	chr14	-	3	398
1700024P03Rik	chr2	-	5	980
1700024P04Rik	chr13	-	1	476
1700024P16Rik	chr4	+	20	3136
1700025B11Rik	chr15	-	4	552
1700025C18Rik	chr2	-	3	702
1700025E21Rik	chr6	+	4	1597
1700025F22Rik	chr19	-	7	631
1700025F24Rik	chr10	+	4	894
1700025G04Rik	chr1	-	6	9754
1700025K23Rik	chr10	-	5	730
1700025M24Rik	chr5	-	5	770
1700025N23Rik	chr6	-	4	902
1700026D08Rik	chr7	-	7	1294
1700026D11Rik	chr2	+	4	847
1700026J04Rik	chr13	-	8	2395
1700026L06Rik	chr2	-	5	671
1700027A15Rik	chr1	+	4	571
1700027A23Rik	chr3	-	7	1127
1700027D21Rik	chr10	+	4	1331
1700027F09Rik	chr5	-	3	766
1700027H10Rik	chr3	-	4	583
1700027I24Rik	chr9	-	4	696
1700027J07Rik	chr10	+	4	1060
1700027L20Rik	chr1	+	13	1999
1700028B04Rik	chr7	+	1	552
1700028I16Rik	chr10	+	3	1056
1700028J19Rik	chr7	-	5	1187
1700028K03Rik	chr5	+	7	3253
1700028M03Rik	chr3	-	5	468
1700028P14Rik	chr19	-	6	868
1700028P15Rik	chr2	-	6	856
1700029B22Rik	chr7	+	5	697
1700029F09Rik	chr1	-	8	1265
1700029F12Rik	chr13	-	3	1140
1700029G01Rik	chr4	-	16	2328
1700029H14Rik	chr8	-	9	1408
1700029I01Rik	chr4	+	5	4565
1700029I15Rik	chr2	+	3	364
1700029J03Rik	chr16	-	3	789
1700029J07Rik	chr8	-	7	2740
1700029J11Rik	chr2	+	2	649
1700029M20Rik	chr4	+	3	2963
1700029P11Rik	chr15	+	1	1024
1700030C10Rik	chr12	-	2	1724
1700030F18Rik	chr15	-	4	621
1700030J22Rik	chr8	-	3	2971
1700030K09Rik	chr8	+	8	2427
1700030L20Rik	chr3	-	5	985
1700031F05Rik	chrX	-	7	1360
1700031M16Rik	chr15	+	11	824
1700034E13Rik	chr18	+	4	477
1700034F02Rik	chr11	+	12	2185
1700034H14Rik	chr18	-	6	1315
1700034H15Rik	chr1	-	5	4362
1700034I23Rik	chr3	-	1	2345
1700034J05Rik	chr6	-	3	2034
1700034K08Rik	chr9	-	4	617
1700034O15Rik	chr6	+	2	741
1700034P13Rik	chr1	+	4	1494
1700036G14Rik	chr3	+	3	539
1700037C18Rik	chr16	-	3	1097
1700037H04Rik	chr2	-	6	1241
1700039E15Rik	chr7	+	6	1732
1700040I03Rik	chr6	-	6	1296
1700040L02Rik	chr10	-	8	1238
1700040N02Rik	chr2	+	8	1174
1700041C23Rik	chr9	+	6	395
1700041M19Rik	chr16	-	3	1129
1700042B14Rik	chrX	-	3	1056
1700042G07Rik	chr4	+	2	392
1700042G15Rik	chr4	-	3	2030
1700044K03Rik	chr18	+	2	377
1700045H11Rik	chr4	-	4	593
1700045I19Rik	chrX	-	1	1190
1700047G03Rik	chr15	+	3	840
1700047I17Rik2	chr12	+	10	7682
1700047L14Rik	chr5	+	3	514
1700047M11Rik	chr1	+	2	686
1700048O20Rik	chr9	+	5	1848
1700049E15Rik	chr6	+	4	921
1700049E22Rik	chr6	+	4	507
1700049G17Rik	chr7	-	4	5158
1700049L16Rik	chr10	-	1	806
1700052I22Rik	chr12	-	2	377
1700052K11Rik	chr11	-	1	2413
1700052N19Rik	chr10	-	5	2290
1700054K19Rik	chr6	+	3	451
1700054N08Rik	chr8	-	4	2673
1700054O13Rik	chrX	+	1	554
1700055C04Rik	chr9	-	3	355
1700055N04Rik	chr19	+	10	1999
1700056E22Rik	chr1	-	1	967
1700057G04Rik	chr9	+	7	1052
1700057H15Rik	chr4	-	4	980
1700057K13Rik	chr1	-	9	898
1700058G18Rik	chr10	+	2	753
1700060C20Rik	chr2	+	3	590
1700061F12Rik	chr2	+	4	883
1700061G19Rik	chr17	+	14	2455
1700061I17Rik	chr3	-	9	1962
1700061J05Rik	chr15	-	7	1241
1700063A18Rik	chr1	-	3	356
1700063D05Rik	chr9	+	5	709
1700065D16Rik	chr9	-	1	2771
1700065I16Rik	chr15	+	3	813
1700065I17Rik	chr18	+	3	564
1700065J11Rik	chr6	+	3	428
1700065J18Rik	chr1	+	3	404
1700066B17Rik	chr1	-	5	531
1700066B19Rik	chr18	+	2	2504
1700066M21Rik	chr1	+	2	3007
1700066O22Rik	chr18	-	2	960
1700067G17Rik	chr1	+	3	603
1700067K01Rik	chr8	+	6	1084
1700067P10Rik	chr17	+	3	794
1700069L16Rik	chr5	-	3	704
1700069P05Rik	chr6	-	3	787
1700071K01Rik	chr11	-	1	1038
1700072B07Rik	chr9	+	3	445
1700072E05Rik	chrX	+	3	1048
1700073E17Rik	chr6	+	1	4599
1700074P13Rik	chr6	-	7	1647
1700080E11Rik	chr9	-	3	871
1700080N15Rik	chr2	-	3	434
1700080O16Rik	chrX	-	4	1454
1700081H04Rik	chr5	+	4	1126
1700081L11Rik	chr11	-	14	5510
1700084C01Rik	chr1	+	4	1440
1700084E18Rik	chr2	-	1	434
1700084J12Rik	chr15	-	1	731
1700085B03Rik	chr5	-	5	869
1700086L19Rik	chr12	+	5	1046
1700086O06Rik	chr18	-	4	1931
1700088E04Rik	chr15	-	7	1253
1700090G07Rik	chr17	+	3	752
1700092M07Rik	chr19	+	2	380
1700093K21Rik	chr11	-	6	1447
1700094D03Rik	chr3	+	4	3097
1700094J05Rik	chr10	+	5	997
1700095B10Rik	chr5	+	4	1047
1700095B22Rik	chr3	-	4	1090
1700096J18Rik	chr11	+	2	454
1700096K18Rik	chr5	+	1	1449
1700101E01Rik	chr2	-	7	1295
1700102P08Rik	chr9	+	4	1098
1700106J16Rik	chr11	+	1	1219
1700106N22Rik	chr17	+	11	1439
1700108F19Rik	chr14	+	5	868
1700108J01Rik	chr14	-	2	468
1700108M19Rik	chr12	-	10	1323
1700109F18Rik	chr2	-	3	794
1700109G14Rik	chr14	-	3	798
1700109H08Rik	chr5	+	6	715
1700110I01Rik	chr14	+	12	5106
1700110K17Rik	chr9	+	3	708
1700110M21Rik	chr14	-	3	1862
1700111N16Rik	chrX	-	9	1132
1700112E06Rik	chr14	+	7	911
1700112H15Rik	chr1	-	6	778
1700113H08Rik	chr10	+	6	1343
1700113I22Rik	chr11	-	6	1461
1700119H24Rik	chr16	-	3	586
1700120K04Rik	chr7	-	1	543
1700121N20Rik	chr12	-	4	1028
1700123I01Rik	chr19	+	11	1613
1700123K08Rik	chr5	-	6	1047
1700123L14Rik	chr6	-	1	1703
1700123M08Rik	chr4	+	5	1066
1700123O20Rik	chr14	+	2	1889
1700125D06Rik	chr4	+	3	558
1700125G02Rik	chr4	-	3	519
1700125G22Rik	chr3	+	3	861
1700125H03Rik	chr8	+	4	760
1700125H20Rik	chr11	+	6	975
1700126H18Rik	chr5	-	3	404
1700128F08Rik	chr9	+	3	1110
1700129C05Rik	chr14	-	5	1067
1810006J02Rik	chr1	+	3	1687
1810006K21Rik	chr19	+	5	510
1810007D17Rik	chr19	+	3	742
1810007I06Rik	chr16	+	3	331
1810008A18Rik	chr10	-	6	2428
1810009A15Rik	chr19	+	4	615
1810009J06Rik	chr6	+	5	856
1810010D01Rik	chr7	-	3	935
1810010H24Rik	chr11	+	3	1099
1810011H11Rik	chr14	+	5	1473
1810011O10Rik	chr8	-	1	1331
1810012P15Rik	chr11	+	4	5053
1810013D10Rik	chr5	+	3	954
1810013L24Rik	chr16	+	4	4074
1810014B01Rik	chr10	+	3	1620
1810014F10Rik	chr7	-	6	650
1810018F18Rik	chr19	+	3	1447
1810019D21Rik	chr8	+	5	1646
1810019J16Rik	chr4	+	4	1796
1810020D17Rik	chr7	-	5	893
1810021B22Rik	chr15	-	4	654
1810022K09Rik	chr3	-	4	401
1810024B03Rik	chr2	-	2	1266
1810026B05Rik	chr7	-	5	5143
1810026J23Rik	chr9	+	2	3170
1810027O10Rik	chr11	+	4	431
1810029B16Rik	chr8	-	7	1088
1810030J14Rik	chr1	+	2	803
1810030N24Rik	chr4	-	4	927
1810030O07Rik	chrX	-	7	2572
1810031K17Rik	chr1	-	9	2738
1810032O08Rik	chr11	+	5	1997
1810033B17Rik	chr8	+	7	1132
1810035I16Rik	chr4	+	3	322
1810035L17Rik	chr12	+	4	419
1810037I17Rik	chr3	+	2	976
1810041L15Rik	chr15	-	5	5917
1810043G02Rik	chr10	+	7	1696
1810043H04Rik	chr11	+	3	494
1810044D09Rik	chr6	+	2	486
1810046J19Rik	chr11	-	4	744
1810046K07Rik	chr9	-	5	1318
1810048J11Rik	chr12	+	11	4420
1810049H13Rik	chr11	-	2	810
1810053B23Rik	chr16	-	8	2583
1810055G02Rik	chr19	+	4	1882
1810058I24Rik	chr6	+	3	1302
1810062G17Rik	chr3	+	3	911
1810062O18Rik	chr14	+	6	751
1810063B05Rik	chr8	+	2	763
1810063B07Rik	chr14	-	2	2304
1810064F22Rik	chr9	-	2	2302
1810065E05Rik	chr11	+	6	925
1810074P20Rik	chr4	-	19	4335
2010001E11Rik	chr10	-	4	2285
2010001M06Rik	chr5	-	4	500
2010001M09Rik	chr18	-	4	906
2010002M12Rik	chr19	-	3	3365
2010002N04Rik	chr18	-	2	1986
2010003K11Rik	chr19	-	2	1167
2010003K15Rik	chr10	-	2	674
2010005H15Rik	chr16	+	5	528
2010007H12Rik	chr5	+	4	939
2010009K17Rik	chr2	-	4	570
2010011I20Rik	chr2	+	3	3605
2010012O05Rik	chr19	+	5	2176
2010015L04Rik	chr4	+	21	4670
2010016I18Rik	chr3	-	2	1558
2010106E10Rik	chrX	+	7	1287
2010106G01Rik	chr2	-	15	5612
2010107E04Rik	chr12	-	4	365
2010107G12Rik	chr6	-	8	2158
2010107G23Rik	chr10	-	4	1731
2010107H07Rik	chr14	-	2	403
2010109I03Rik	chr15	-	3	1887
2010109K11Rik	chr12	+	1	4155
2010110P09Rik	chr7	+	7	1171
2010111I01Rik	chr13	+	15	3509
2010204K13Rik	chrX	-	3	946
2010300C02Rik	chr1	-	10	4361
2010305A19Rik	chr4	+	3	2876
2010315B03Rik	chr9_random	-	6	2759
2010317E24Rik	chr2	+	7	3121
2010320M18Rik	chr8	+	1	745
2010321M09Rik	chr9	+	13	3208
2200002D01Rik	chr7	-	4	507
2200002J24Rik	chr7	+	4	610
2200002K05Rik	chr9	+	4	1988
2210009G21Rik	chr2	+	10	3111
2210010C04Rik	chr6	-	5	2142
2210010C17Rik	chr7	-	5	1895
2210012G02Rik	chr4	-	5	6243
2210013O21Rik	chrX	+	4	856
2210015D19Rik	chr11	+	7	1840
2210016F16Rik	chr13	-	4	2822
2210016L21Rik	chr5	+	6	1320
2210018M11Rik	chr7	-	20	4014
2210019I11Rik	chr5	-	6	1442
2210020M01Rik	chr11	+	3	940
2210021J22Rik	chr15	-	5	1057
2210039B01Rik	chr12	+	4	1039
2210403K04Rik	chr11	+	3	1766
2210404J11Rik	chr17	+	18	2668
2210404O07Rik	chr10	+	4	575
2210407C18Rik	chr11	-	6	879
2210408F21Rik	chr6	+	8	1041
2210408I21Rik	chr13	+	20	5632
2210409E12Rik	chr11	+	1	377
2210411K11Rik	chr7	-	2	1051
2210414B05Rik	chr4	+	4	874
2210415F13Rik	chr11	+	7	1108
2210417A02Rik	chr5	+	2	550
2210417K05Rik	chr10	+	2	557
2300002M23Rik	chr17	+	2	1248
2300003K06Rik	chr11	-	1	919
2300005B03Rik	chr15	-	3	464
2300009A05Rik	chr9	-	2	598
2310001A20Rik	chr2	-	9	2190
2310001H17Rik	chr6	-	4	769
2310001K24Rik	chr2	+	1	459
2310002J15Rik	chr2	-	2	781
2310002L09Rik	chr4	-	3	2158
2310002L13Rik	chr18	-	3	1227
2310003C23Rik	chr2	+	4	1850
2310003F16Rik	chr2	+	4	604
2310003H01Rik	chr11	-	10	3175
2310003L22Rik	chr2	+	11	2732
2310004I24Rik	chr11	-	5	1492
2310004N24Rik	chr11	+	4	902
2310005A03Rik	chr2	-	3	1394
2310005G13Rik	chr16	-	7	3067
2310007B03Rik	chr1	-	7	2362
2310007L24Rik	chr11	+	6	789
2310008H04Rik	chr16	-	20	3261
2310008H09Rik	chr7	-	6	5612
2310009A05Rik	chr9	+	2	492
2310009B15Rik	chr1	-	3	571
2310010M20Rik	chr16	+	3	1267
2310011J03Rik	chr10	-	2	1659
2310014F07Rik	chr9	-	3	1119
2310014H01Rik	chr17	+	5	3386
2310014L17Rik	chr7	+	2	3239
2310015A10Rik	chr12	-	3	4845
2310015B20Rik	chr10	+	3	443
2310015D24Rik	chr16	-	4	2917
2310016C08Rik	chr6	+	3	1106
2310016M24Rik	chr15	+	2	723
2310021P13Rik	chr14	+	26	6072
2310022A10Rik	chr7	+	10	2714
2310022B05Rik	chr8	-	4	3307
2310028H24Rik	chr4	-	6	2109
2310028O11Rik	chr4	-	4	2683
2310030A07Rik	chr1	-	4	610
2310030G06Rik	chr9	-	4	1242
2310030N02Rik	chr4	-	9	1079
2310033E01Rik	chr7	-	5	730
2310033P09Rik	chr11	+	7	1241
2310034C09Rik	chr16	+	1	943
2310034G01Rik	chr19	-	1	788
2310034O05Rik	chr5	+	4	1107
2310035C23Rik	chr1	+	29	5406
2310035K24Rik	chr2	+	4	1432
2310036O22Rik	chr8	+	3	892
2310037I24Rik	chr15	-	10	2110
2310039H08Rik	chr17	+	1	773
2310040G24Rik	chr6	-	2	775
2310042D19Rik	chr4	+	4	3842
2310042E22Rik	chr16	-	1	1286
2310043J07Rik	chr5	+	6	1043
2310043L19Rik	chr1	-	3	698
2310044G17Rik	chr12	+	6	4409
2310044H10Rik	chr7	-	7	1855
2310045N01Rik	chr8	+	6	600
2310046A06Rik	chr9	-	8	1224
2310046K01Rik	chr2	+	6	2766
2310046O06Rik	chr9	+	5	3055
2310047B19Rik	chr9	+	2	1846
2310047M10Rik	chr11	+	1	1802
2310050B05Rik	chr10	+	3	318
2310050C09Rik	chr3	-	2	1067
2310057J16Rik	chr8	+	17	4296
2310057J18Rik	chr10	-	6	1319
2310057M21Rik	chr7	-	6	2214
2310057N15Rik	chr16	-	1	1026
2310061C15Rik	chr8	-	4	1440
2310061I04Rik	chr17	-	6	1240
2310061J03Rik	chr16	-	1	1350
2310061N02Rik	chr16	-	1	792
2310065F04Rik	chr11	-	5	2724
2310067B10Rik	chr11	+	32	4996
2310068J16Rik	chr15	-	1	1121
2310069B03Rik	chr6	-	4	1831
2310069G16Rik	chr15	+	3	862
2310079F23Rik	chr5	-	11	3784
2310079G19Rik	chr16	-	1	879
2400001E08Rik	chr7	+	5	1186
2400003C14Rik	chr8	-	10	2342
2410001C21Rik	chr2	+	9	2142
2410002F23Rik	chr7	+	6	1982
2410002I01Rik	chr11	-	13	2779
2410002O22Rik	chr13	-	14	4833
2410003K15Rik	chr6	+	4	785
2410004A20Rik	chr9	+	3	1686
2410004B18Rik	chr3	+	3	975
2410004I01Rik	chr11	-	3	954
2410004N09Rik	chr18	+	3	433
2410004P03Rik	chr12	-	5	1798
2410006H16Rik	chr11	+	5	461
2410007B07Rik	chr3	-	3	1031
2410012M07Rik	chr9	+	1	1814
2410015M20Rik	chr17	-	4	755
2410016O06Rik	chr12	+	1	2346
2410017I17Rik	chr17	+	4	1511
2410017P09Rik	chr12	+	2	4013
2410018L13Rik	chr12	+	4	1407
2410018M08Rik	chr5	+	4	2491
2410022L05Rik	chr8	-	4	802
2410042D21Rik	chr2	+	10	2883
2410057H14Rik	chr3	-	4	590
2410066E13Rik	chr6	+	3	1710
2410075B13Rik	chr15	-	1	2414
2410076I21Rik	chr9	-	6	883
2410088K16Rik	chr1	+	3	476
2410089E03Rik	chr15	+	53	10469
2410091C18Rik	chr17	+	10	2303
2410114N07Rik	chr4	-	3	951
2410127L17Rik	chr19	+	8	2094
2410131K14Rik	chr5	+	5	2670
2410137F16Rik	chr5	+	4	3358
2410137M14Rik	chr17	-	4	865
2410141K09Rik	chr13	-	5	515
2500003M10Rik	chr3	-	5	3247
2500004C02Rik	chr2	-	2	1898
2510002D24Rik	chr16	+	3	1232
2510003D18Rik	chr3	-	2	495
2510003E04Rik	chr10	-	7	2472
2510006D16Rik	chr4	+	5	761
2510009E07Rik	chr16	-	2	5164
2510012J08Rik	chr10	+	9	2724
2510039O18Rik	chr4	+	3	2731
2510049J12Rik	chr6	-	4	2539
2600006L11Rik	chr9	+	3	316
2610001J05Rik	chr6	-	3	1803
2610002D18Rik	chr4	+	3	1270
2610002I17Rik	chr9	+	7	2064
2610002J02Rik	chr4	+	3	1519
2610002M06Rik	chrX	-	8	5841
2610005L07Rik	chr8	-	6	4009
2610008E11Rik	chr10	-	6	4229
2610015P09Rik	chr16	+	16	3643
2610017I09Rik	chr1	-	4	546
2610018G03Rik	chrX	+	12	2003
2610019F03Rik	chr8	-	3	2463
2610020C07Rik	chr16	+	3	2156
2610020H08Rik	chr7	+	17	2348
2610021K21Rik	chr12	-	6	2069
2610024G14Rik	chr5	-	7	2303
2610027L16Rik	chr14	+	10	3828
2610028E06Rik	chr4	-	6	3543
2610028H24Rik	chr10	+	8	1763
