geneName	geneChromosome	strand	exonNumber	geneLength
ACOT9	chrX	-	16	1727
ACOX1	chr17	-	15	7919
ACOX2	chr3	-	15	2309
ACOX3	chr4	-	18	2874
ACOXL	chr2	+	18	2373
ACP1	chr2	+	6	1882
ACP2	chr11	-	10	2312
ACP5	chr19	-	7	1810
ACP6	chr1	-	10	1808
ACPL2	chr3	+	8	3181
ACPP	chr3	+	11	3818
ACPT	chr19	+	11	1347
ACR	chr22	+	5	1370
ACRBP	chr12	-	10	1886
ACRC	chrX	+	13	3178
ACRV1	chr11	-	4	1175
ACSBG1	chr15	-	14	2980
ACSBG2	chr19	+	15	2712
ACSF2	chr17	+	16	2239
ACSF3	chr16	+	11	3668
ACSL1	chr4	-	21	3805
ACSL3	chr2	+	17	4361
ACSL4	chrX	-	17	5335
ACSL5	chr10	+	23	3744
ACSL6	chr5	-	23	6915
ACSM1	chr16	-	13	2051
ACSM2A	chr16	+	15	2964
ACSM2B	chr16	-	15	2441
ACSM3	chr16	+	14	2291
ACSM4	chr12	+	13	1743
ACSM5	chr16	+	14	2419
ACSS1	chr20	-	14	4473
ACSS2	chr20	+	20	3193
ACSS3	chr12	+	16	3033
ACTA1	chr1	-	7	1492
ACTA2	chr10	-	10	1851
ACTB	chr7	-	6	1812
ACTBL2	chr5	-	1	2794
ACTC1	chr15	-	7	3693
ACTG1	chr17	-	6	2105
ACTG2	chr2	+	9	1331
ACTL6A	chr3	+	14	1906
ACTL6B	chr7	-	14	1531
ACTL7A	chr9	+	1	1433
ACTL7B	chr9	-	1	1407
ACTL8	chr1	+	3	1861
ACTL9	chr19	-	1	1422
ACTN1	chr14	-	22	3791
ACTN2	chr1	+	21	4528
ACTN3	chr11	+	21	2857
ACTN4	chr19	+	21	3954
ACTR10	chr14	+	13	2441
ACTR1A	chr10	-	11	2873
ACTR1B	chr2	-	11	2258
ACTR2	chr2	+	10	3937
ACTR3	chr2	+	12	2712
ACTR3B	chr7	+	12	2199
ACTR3BP2	chr2	+	1	1338
ACTR3BP5	chr10	+	1	1645
ACTR3C	chr7	-	9	1420
ACTR5	chr20	+	9	2479
ACTR6	chr12	+	11	1755
ACTR8	chr3	-	13	3628
ACTRT1	chrX	-	1	1442
ACTRT2	chr1	+	1	1422
ACVR1	chr2	-	12	3112
ACVR1B	chr12	+	11	4807
ACVR1C	chr2	-	10	9077
ACVR2A	chr2	+	11	5244
ACVR2B	chr3	+	11	11373
ACVRL1	chr12	+	10	4404
ACY1	chr3	+	15	1678
ACY3	chr11	-	8	1300
ACYP1	chr14	-	4	686
ACYP2	chr2	+	4	1222
ADA	chr20	-	12	1532
ADAD1	chr4	+	13	2255
ADAD2	chr16	+	11	2304
ADAL	chr15	+	13	3967
ADAM1	chr12	+	1	2840
ADAM10	chr15	-	16	3927
ADAM11	chr17	+	27	4402
ADAM12	chr10	-	24	6981
ADAM15	chr1	+	23	2967
ADAM17	chr2	-	19	3553
ADAM18	chr8	+	20	3268
ADAM19	chr5	-	23	6481
ADAM2	chr8	-	21	2642
ADAM20	chr14	-	2	2792
ADAM21	chr14	+	2	2664
ADAM21P1	chr14	-	1	2049
ADAM22	chr7	+	32	9510
ADAM23	chr2	+	26	3050
ADAM28	chr8	+	23	3678
ADAM29	chr4	+	5	3325
ADAM30	chr1	-	1	2992
ADAM32	chr8	+	25	2727
ADAM33	chr20	-	22	3519
ADAM3A	chr8	-	22	2633
ADAM5P	chr8	+	15	1705
ADAM6	chr14	-	2	1842
ADAM7	chr8	+	22	2594
ADAM8	chr10	-	23	3301
ADAM9	chr8	+	22	4098
ADAMDEC1	chr8	+	15	2438
ADAMTS1	chr21	-	9	4651
ADAMTS10	chr19	-	26	4237
ADAMTS12	chr5	-	24	4954
ADAMTS13	chr9	+	30	5240
ADAMTS14	chr10	+	22	5267
ADAMTS15	chr11	+	8	5676
ADAMTS16	chr5	+	23	4974
ADAMTS17	chr15	-	22	6331
ADAMTS18	chr16	-	23	5913
ADAMTS19	chr5	+	23	5089
ADAMTS2	chr5	-	23	7070
ADAMTS20	chr12	-	39	5733
ADAMTS3	chr4	-	22	5822
ADAMTS4	chr1	-	9	4332
ADAMTS5	chr21	-	8	9663
ADAMTS6	chr5	-	25	7268
ADAMTS7	chr15	-	24	5490
ADAMTS8	chr11	-	9	3663
ADAMTS9	chr3	-	40	7312
ADAMTS9-AS2	chr3	+	6	2228
ADAMTSL1	chr9	+	29	7996
ADAMTSL2	chr9	+	20	4133
ADAMTSL3	chr15	+	30	7335
ADAMTSL4	chr1	+	19	4299
ADAMTSL5	chr19	-	12	2857
ADAP1	chr7	-	11	2322
ADAP2	chr17	+	11	2749
ADAR	chr1	-	17	7092
ADARB1	chr21	+	13	7145
ADARB2	chr10	-	10	8426
ADAT1	chr16	-	11	3603
ADAT2	chr6	-	6	6253
ADAT3	chr19	+	2	1580
ADC	chr1	+	12	2182
ADCK1	chr14	+	11	2234
ADCK2	chr7	+	8	2364
ADCK3	chr1	+	15	2924
ADCK4	chr19	-	16	2497
ADCK5	chr8	+	15	1961
ADCY1	chr7	+	20	12498
ADCY10	chr1	-	33	5421
ADCY2	chr5	+	25	6553
ADCY3	chr2	-	21	4396
ADCY4	chr14	-	25	3720
ADCY5	chr3	-	22	6257
ADCY6	chr12	-	22	6698
ADCY7	chr16	+	25	6138
ADCY8	chr8	-	18	4101
ADCY9	chr16	-	11	7727
ADCYAP1	chr18	+	5	3277
ADCYAP1R1	chr7	+	17	6575
ADD1	chr4	+	16	4068
ADD2	chr2	-	18	5943
ADD3	chr10	+	16	4628
ADH1A	chr4	-	9	1500
ADH1B	chr4	-	9	2682
ADH1C	chr4	-	9	1473
ADH4	chr4	-	9	1979
ADH5	chr4	-	9	2643
ADH6	chr4	-	9	3006
ADH7	chr4	-	10	2397
ADHFE1	chr8	+	14	1895
ADI1	chr2	-	4	1676
ADIG	chr20	+	3	770
ADIPOQ	chr3	+	4	4629
ADIPOR1	chr1	-	10	2300
ADIPOR2	chr12	+	8	3965
ADK	chr10	+	12	2439
ADM	chr11	+	4	1449
ADM2	chr22	+	2	4246
ADNP	chr20	-	5	4713
ADNP2	chr18	+	4	5387
ADO	chr10	+	1	3724
ADORA1	chr1	+	4	2919
ADORA2A	chr22	+	3	2566
ADORA2B	chr17	+	2	1885
ADORA3	chr1	-	8	3408
ADPGK	chr15	-	7	2775
ADPRH	chr3	+	5	3439
ADPRHL1	chr13	-	8	2173
ADPRHL2	chr1	+	6	1691
ADRA1A	chr8	-	5	3560
ADRA1B	chr5	+	2	2254
ADRA1D	chr20	-	2	2666
ADRA2A	chr10	+	1	3873
ADRA2B	chr2	-	1	3266
ADRA2C	chr4	+	1	1958
ADRB1	chr10	+	1	2862
ADRB2	chr5	+	1	2042
ADRB3	chr8	-	2	2646
ADRBK1	chr11	+	21	3444
ADRBK2	chr22	+	21	9055
ADRM1	chr20	+	10	1405
ADSL	chr22	+	13	1563
ADSS	chr1	-	13	2782
ADSSL1	chr14	+	14	2078
AEBP1	chr7	+	21	4081
AEBP2	chr12	+	8	5660
AEN	chr15	+	4	3116
AES	chr19	-	8	1943
AFAP1	chr4	-	18	7770
AFAP1-AS1	chr4	+	2	6794
AFAP1L1	chr5	+	19	4212
AFAP1L2	chr10	-	19	3976
AFF1	chr4	+	22	9709
AFF2	chrX	+	22	13887
AFF3	chr2	-	25	8212
AFF4	chr5	-	21	9580
AFG3L1P	chr16	+	14	3903
AFG3L2	chr18	-	17	3209
AFM	chr4	+	15	1997
AFMID	chr17	+	12	2160
AFP	chr4	+	15	2032
AFTPH	chr2	+	10	4123
AGA	chr4	-	9	2102
AGAP1	chr2	+	18	4523
AGAP11	chr10	+	12	3155
AGAP2	chr12	-	20	5166
AGAP3	chr7	+	19	4146
AGAP4	chr10	-	7	2431
AGAP5	chr10	-	8	2426
AGAP6	chr10	+	8	2772
AGAP7	chr10	-	7	2420
AGAP8	chr10	-	7	2420
AGAP9	chr10	-|+	16	4774
AGBL1	chr15	+	24	3493
AGBL2	chr11	-	19	3593
AGBL3	chr7	+	17	3533
AGBL4	chr1	-	14	2988
AGBL5	chr2	+	15	3368
AGER	chr6	-	10	1832
AGER	chr6_apd_hap1	-	10	1832
AGER	chr6_cox_hap2	-	10	1832
AGER	chr6_mann_hap4	-	10	1832
AGER	chr6_mcf_hap5	-	10	1832
AGER	chr6_qbl_hap6	-	10	1832
AGER	chr6_ssto_hap7	-	10	179
AGFG1	chr2	+	14	8738
AGFG2	chr7	+	12	4811
AGGF1	chr5	+	14	4508
AGK	chr7	+	16	2925
AGL	chr1	+	36	8217
AGMAT	chr1	-	7	3154
AGMO	chr7	-	13	2475
AGPAT1	chr6	-	8	2368
AGPAT1	chr6_apd_hap1	-	8	2368
AGPAT1	chr6_cox_hap2	-	8	2368
AGPAT1	chr6_mann_hap4	-	8	2368
AGPAT1	chr6_mcf_hap5	-	8	2368
AGPAT1	chr6_qbl_hap6	-	8	2368
AGPAT1	chr6_ssto_hap7	-	8	233
AGPAT2	chr9	-	6	1548
AGPAT3	chr21	+	11	6609
AGPAT4	chr6	-	9	7879
AGPAT5	chr8	+	8	5519
AGPAT6	chr8	+	13	6310
AGPAT9	chr4	+	12	2534
AGPHD1	chr15	+	6	1309
AGPS	chr2	+	20	7665
AGR2	chr7	-	8	983
AGR3	chr7	-	8	750
AGRN	chr1	+	36	7319
AGRP	chr16	-	4	764
AGSK1	chr15	-|+	24	7679
AGT	chr1	-	5	2581
AGTPBP1	chr9	-	26	4419
AGTR1	chr3	+	5	2571
AGTR2	chrX	+	3	2899
AGTRAP	chr1	+	6	1280
AGXT	chr2	+	11	1598
AGXT2	chr5	-	14	2406
AGXT2L1	chr4	-	13	2141
AGXT2L2	chr5	-	13	2013
AHCTF1	chr1	-	36	8631
AHCY	chr20	-	11	2538
AHCYL1	chr1	+	20	4968
AHCYL2	chr7	+	19	5778
AHDC1	chr1	-	7	6496
AHI1	chr6	-	30	5898
AHNAK	chr11	-	7	19263
AHNAK2	chr14	-	7	18317
AHR	chr7	+	11	6247
AHRR	chr5	+	12	5660
AHSA1	chr14	+	9	1400
AHSA2	chr2	+	6	3031
AHSG	chr3	+	7	1573
AHSP	chr16	+	3	506
AICDA	chr12	-	5	2794
AIDA	chr1	-	10	3006
AIF1	chr6	+	3	1552
AIF1	chr6_cox_hap2	+	3	1552
AIF1	chr6_dbb_hap3	+	3	1552
AIF1	chr6_mcf_hap5	+	3	1552
AIF1	chr6_qbl_hap6	+	3	1552
AIF1	chr6_ssto_hap7	+	3	154
AIF1L	chr9	+	7	3537
AIFM1	chrX	-	17	3253
AIFM2	chr10	-	9	3250
AIFM3	chr22	+	22	2528
AIG1	chr6	+	6	1385
AIM1	chr6	+	20	7552
AIM1L	chr1	-	20	5245
AIM2	chr1	-	6	1484
AIMP1	chr4	+	9	3260
AIMP2	chr7	+	4	1219
AIP	chr11	+	6	1233
AIPL1	chr17	-	6	2971
AIRE	chr21	+	14	2969
AJAP1	chr1	+	7	3317
AK1	chr9	-	7	2266
AK2	chr1	-	8	5771
AK3	chr9	-	8	4621
AK4	chr1	+	7	7226
AK5	chr1	+	15	4335
AK7	chr14	+	18	2648
AK8	chr9	-	13	2106
AKAP1	chr17	+	14	4664
AKAP10	chr17	-	15	2916
AKAP11	chr13	+	13	9920
AKAP12	chr6	+	6	8789
AKAP13	chr15	+	39	13418
AKAP14	chrX	+	7	912
AKAP17A	chrX	+	6	3278
AKAP17A	chrY	+	6	3278
AKAP2	chr9	+	6	7098
AKAP3	chr12	-	5	3020
AKAP4	chrX	-	7	3005
AKAP5	chr14	+	2	6487
AKAP6	chr14	+	14	10387
AKAP7	chr6	+	10	3461
AKAP8	chr19	-	14	3543
AKAP8L	chr19	-	14	2114
AKAP9	chr7	+	50	12463
AKD1	chr6	-	41	7552
AKIP1	chr11	+	5	1528
AKIRIN1	chr1	+	5	2726
AKIRIN2	chr6	-	5	1932
AKIRIN2-AS1	chr6	-	1	914
AKNA	chr9	-	22	7383
AKNAD1	chr1	-	16	3048
AKR1A1	chr1	+	10	1580
AKR1B1	chr7	-	10	1398
AKR1B10	chr7	+	10	1596
AKR1B15	chr7	+	12	1625
AKR1C1	chr10	+	9	1379
AKR1C2	chr10	-	12	2140
AKR1C3	chr10	+	9	1224
AKR1C4	chr10	+	9	1192
AKR1CL1	chr10	-	8	2127
AKR1D1	chr7	+	9	2710
AKR1E2	chr10	+	10	1607
AKR7A2	chr1	-	7	1362
AKR7A2P1	chr1	+	1	1324
AKR7A3	chr1	-	7	1241
AKR7L	chr1	-	7	2314
AKT1	chr14	-	15	3248
AKT1S1	chr19	-	5	2440
AKT2	chr19	-	14	5300
AKT3	chr1	-	15	7341
AKTIP	chr16	-	10	2222
ALAD	chr9	-	12	3183
ALAS1	chr3	+	12	2435
ALAS2	chrX	-	12	2134
ALB	chr4	+	15	2247
ALCAM	chr3	+	16	6373
ALDH16A1	chr19	+	17	3106
ALDH18A1	chr10	-	18	3463
ALDH1A1	chr9	-	13	2369
ALDH1A2	chr15	-	14	3799
ALDH1A3	chr15	+	13	3495
ALDH1B1	chr9	+	2	3024
ALDH1L1	chr3	-	23	3125
ALDH1L2	chr12	-	23	7539
ALDH2	chr12	+	13	2060
ALDH3A1	chr17	-	11	2256
ALDH3A2	chr17	+	11	3827
ALDH3B1	chr11	+	11	2930
ALDH3B2	chr11	-	11	2689
ALDH4A1	chr1	-	16	3581
ALDH5A1	chr6	+	11	5170
ALDH6A1	chr14	-	12	2180
ALDH7A1	chr5	-	18	4936
ALDH8A1	chr6	-	7	2558
ALDH9A1	chr1	-	11	2500
ALDOA	chr16	+	15	3469
ALDOB	chr9	-	9	2426
ALDOC	chr17	-	9	1651
ALG1	chr16	+	13	3934
ALG10	chr12	+	3	3127
ALG10B	chr12	+	3	10074
ALG11	chr13	+	4	2565
ALG12	chr22	-	10	2373
ALG13	chrX	+	30	7005
ALG14	chr1	-	4	1057
ALG1L	chr3	-	7	921
ALG1L2	chr3	+	8	969
ALG2	chr9	-	3	2989
ALG3	chr3	-	10	1833
ALG5	chr13	-	10	1213
ALG6	chr1	+	15	3371
ALG8	chr11	-	14	1743
ALG9	chr11	-	16	6666
ALK	chr2	-	29	6265
ALKBH1	chr14	-	6	2585
ALKBH2	chr12	-	4	1197
ALKBH3	chr11	+	10	1569
ALKBH4	chr7	-	3	2121
ALKBH5	chr17	+	4	3433
ALKBH6	chr19	-	7	977
ALKBH7	chr19	+	4	1331
ALKBH8	chr11	-	12	4067
ALLC	chr2	+	12	1444
ALMS1	chr2	+	23	12922
ALMS1P	chr2	+	7	1592
ALOX12	chr17	+	14	2358
ALOX12B	chr17	-	15	2502
ALOX12P2	chr17	+	14	2768
ALOX15	chr17	-	14	2684
ALOX15B	chr17	+	14	2715
ALOX5	chr10	+	14	2552
ALOX5AP	chr13	+	6	1270
ALOXE3	chr17	-	17	3454
ALPI	chr2	+	11	2550
ALPK1	chr4	+	16	5412
ALPK2	chr18	-	13	7300
ALPK3	chr15	+	14	10917
ALPL	chr1	+	12	2596
ALPP	chr2	+	11	2867
ALPPL2	chr2	+	11	2494
ALS2	chr2	-	34	8341
ALS2CL	chr3	-	27	5612
ALS2CR11	chr2	-	16	7407
ALS2CR12	chr2	-	15	2013
ALS2CR8	chr2	+	18	5999
ALX1	chr12	+	4	1293
ALX3	chr1	-	4	1478
ALX4	chr11	-	4	5466
AMACR	chr5	-	5	3352
AMBN	chr4	+	13	1976
AMBP	chr9	-	10	1433
AMBRA1	chr11	-	19	5023
AMD1	chr6	+	9	3421
AMDHD1	chr12	+	9	2136
AMDHD2	chr16	+	11	2283
AMELX	chrX	+	7	835
AMELY	chrY	-	6	802
AMFR	chr16	-	14	3594
AMH	chr19	+	5	2018
AMHR2	chr12	+	11	1863
AMICA1	chr11	-	11	2412
AMIGO1	chr1	-	2	2471
AMIGO2	chr12	-	3	3951
AMIGO3	chr3	-	1	2972
AMMECR1	chrX	-	8	5907
AMMECR1L	chr2	-	9	4776
AMN	chr14	+	12	1557
AMN1	chr12	-	7	2110
AMOT	chrX	-	13	7386
AMOTL1	chr11	+	13	8999
AMOTL2	chr3	-	10	4984
AMPD1	chr1	-	16	2406
AMPD2	chr1	+	18	4573
AMPD3	chr11	+	19	5659
AMPH	chr7	-	21	3426
AMT	chr3	-	9	2202
AMTN	chr4	+	9	996
AMY1A	chr1	+|-	33	6069
AMY1B	chr1	+|-	33	5514
AMY1C	chr1	+|-	33	5580
AMY2A	chr1	+	10	1632
AMY2B	chr1	+	12	2179
AMZ1	chr7	+	7	4415
AMZ2	chr17	+	7	1980
AMZ2P1	chr17	-	5	3442
ANAPC1	chr2	-	48	6310
ANAPC10	chr4	-	5	868
ANAPC11	chr17	+	6	1358
ANAPC13	chr3	-	3	1842
ANAPC16	chr10	+	5	3569
ANAPC2	chr9	-	13	2700
ANAPC4	chr4	+	29	2672
ANAPC5	chr12	-	18	2732
ANAPC7	chr12	-	11	3644
ANG	chr14	+	3	1324
ANGEL1	chr14	-	10	4111
ANGEL2	chr1	-	9	4649
ANGPT1	chr8	-	9	4338
ANGPT2	chr8	-	9	5267
ANGPT4	chr20	-	9	1921
ANGPTL1	chr1	-	6	3546
ANGPTL2	chr9	-	5	3572
ANGPTL3	chr1	+	7	2126
ANGPTL4	chr19	+	7	1903
ANGPTL5	chr11	-	9	2368
ANGPTL6	chr19	-	6	1857
ANGPTL7	chr1	+	5	2238
ANK1	chr8	-	46	9281
ANK2	chr4	+	49	14521
ANK3	chr10	-	50	18843
ANKAR	chr2	+	23	4416
ANKDD1A	chr15	+	15	3112
ANKFN1	chr17	+	17	2426
ANKFY1	chr17	-	25	8459
ANKH	chr5	-	12	8207
ANKHD1	chr5	+	35	8460
ANKHD1-EIF4EBP3	chr5	+	36	8349
ANKIB1	chr7	+	20	6081
ANKK1	chr11	+	8	2543
ANKLE1	chr19	+	9	3217
ANKLE2	chr12	-	13	4458
ANKMY1	chr2	-	18	3405
ANKMY2	chr7	-	10	2555
ANKRA2	chr5	-	9	2198
ANKRD1	chr10	-	9	1974
ANKRD10	chr13	-	6	2495
ANKRD11	chr16	-	13	9304
ANKRD12	chr18	+	14	11623
ANKRD13A	chr12	+	15	3908
ANKRD13B	chr17	+	15	3173
ANKRD13C	chr1	-	13	5667
ANKRD13D	chr11	+	16	2277
ANKRD16	chr10	-	8	2638
ANKRD17	chr4	-	34	9375
ANKRD18A	chr9	-	16	3738
ANKRD19P	chr9	+	10	2307
ANKRD2	chr10	+	9	1451
ANKRD20A1	chr9	+	15	3511
ANKRD20A2	chr9	+|-	30	7022
ANKRD20A3	chr9	+|-	45	11892
ANKRD20A4	chr9	+	15	3517
ANKRD20A5P	chr18	+	16	3707
ANKRD20A8P	chr2	-	24	3670
ANKRD20A9P	chr13	-	1	37567
ANKRD22	chr10	-	6	3983
ANKRD23	chr2	-	9	2582
ANKRD24	chr19	+	22	4026
ANKRD26	chr10	-	34	6779
ANKRD26P1	chr16	-	17	6123
ANKRD26P3	chr13	-	21	3726
ANKRD27	chr19	-	29	4453
ANKRD28	chr3	-	30	6620
ANKRD29	chr18	-	10	2273
ANKRD30A	chr10	+	36	4405
ANKRD30B	chr18	+	36	4617
ANKRD30BL	chr2	-	8	2168
ANKRD30BP2	chr21	+	12	3418
ANKRD31	chr5	-	25	6036
ANKRD32	chr5	+	21	3813
ANKRD33	chr12	+	5	1983
ANKRD33B	chr5	+	4	9333
ANKRD34A	chr1	+	4	3612
ANKRD34B	chr5	-	5	3935
ANKRD34C	chr15	+	2	5424
ANKRD35	chr1	+	14	3363
ANKRD36	chr2	+	76	6268
ANKRD36B	chr2	-	44	5986
ANKRD36BP1	chr1	-	1	1850
ANKRD36BP2	chr2	+	17	1730
ANKRD37	chr4	+	5	934
ANKRD39	chr2	-	4	898
ANKRD40	chr17	-	5	4169
ANKRD42	chr11	+	10	2562
ANKRD43	chr5	+	1	3457
ANKRD44	chr2	-	28	6449
ANKRD45	chr1	-	6	2671
ANKRD46	chr8	-	6	2779
ANKRD49	chr11	+	3	1905
ANKRD5	chr20	+	11	3823
ANKRD50	chr4	-	5	8797
ANKRD52	chr12	-	28	8656
ANKRD53	chr2	+	7	2120
ANKRD54	chr22	-	8	2099
ANKRD55	chr5	-	12	2500
ANKRD56	chr4	-	1	2921
ANKRD57	chr2	+	1	4654
ANKRD58	chrX	+	1	1590
ANKRD6	chr6	+	17	5936
ANKRD62P1-PARP4P3	chr22	-	9	1538
ANKRD63	chr15	-	1	1143
ANKRD7	chr7	+	7	1357
ANKRD9	chr14	-	4	1626
ANKS1A	chr6	+	24	6351
ANKS1B	chr12	-	31	7752
ANKS3	chr16	-	18	2953
ANKS4B	chr16	+	2	2906
ANKS6	chr9	-	15	7147
ANKUB1	chr3	-	6	2473
ANKZF1	chr2	+	14	2637
ANLN	chr7	+	24	4770
ANO1	chr11	+	27	5069
ANO10	chr3	-	14	2854
ANO2	chr12	-	26	3717
ANO3	chr11	+	27	5936
ANO4	chr12	+	27	4120
ANO5	chr11	+	22	6661
ANO6	chr12	+	23	7153
ANO7	chr2	+	25	4448
ANO8	chr19	-	18	4152
ANO9	chr11	-	23	2875
ANP32A	chr15	-	7	2466
ANP32B	chr9	+	7	1616
ANP32C	chr4	-	1	705
ANP32D	chr12	+	1	396
ANP32E	chr1	-	8	3553
ANPEP	chr15	-	21	3650
